codeIataAirport,codeIcaoAirport,Country/Region,Province/State
CLJ,LRCL,Romania,
CLN,SBCI,Brazil,
CLO,SKCL,Colombia,
CLQ,MMIA,Mexico,
CLV,SBCN,Brazil,
CLX,,Argentina,
CLY,LFKC,France,
CLZ,SVCL,Venezuela,
CMA,YCMU,Australia,Queensland
CMB,VCBI,Sri Lanka,
CMC,SNWC,Brazil,
CMD,YCTM,Australia,Australian Capital Territory
CME,MMCE,Mexico,
CMF,LFLB,France,
CMG,SBCR,Brazil,
CMK,FWCM,Malawi,
CML,YCMW,Australia,Northern Territory
CMM,MGCR,Guatemala,
CMN,GMMN,Morocco,
CMO,HCMO,Somalia,
CMP,SNKE,Brazil,
CMQ,YCMT,Australia,Queensland
CMR,LFGA,France,
CMS,HCMS,Somalia,
CMT,,Brazil,
CMU,AYCH,Papua New Guinea,
CMV,NZCX,New Zealand,
CMW,MUCM,Cuba,
CMZ,,Mozambique,
CNA,,Mexico,
CNB,YCNM,Australia,New South Wales
CNC,YCCT,Australia,Northern Territory
CND,LRCK,Romania,
CNF,SBCF,Brazil,
CNG,LFBG,France,
CNI,KCNI,China,Shanghai
CNJ,YCCY,Australia,Northern Territory
CNL,EKSN,Denmark,
CNP,BGCO,Denmark,Greenland
CNQ,SARC,Argentina,
CNS,YBCS,Australia,Queensland
CNT,,Argentina,
CNV,SNED,Brazil,
CNX,VTCC,Thailand,
CNZ,,Angola,
COB,,Australia,Northern Territory
COC,SAAC,Argentina,
COG,SKCD,Colombia,
COH,VECO,India,
COJ,YCBB,Australia,New South Wales
COK,VOCI,India,
COL,,United Kingdom,
COO,DBBB,Benin,
COQ,ZMCD,Mongolia,
COR,SACO,Argentina,
COV,LPCV,Portugal,
COX,,Bahamas,
COY,,Australia,Western Australia
COZ,,Dominican Republic,
CPA,GLCP,Liberia,
CPB,SKCA,Colombia,
CPC,SAZY,Argentina,
CPD,YCBP,Australia,South Australia
CPE,MMCP,Mexico,
CPF,WARC,Indonesia,
CPG,,Argentina,
CPH,EKCH,Denmark,
CPI,,Papua New Guinea,
CPL,SKHA,Colombia,
CPN,,Papua New Guinea,
CPQ,SDAM,Brazil,
CPT,FACT,South Africa,
CPU,SNCU,Brazil,
CPV,SBKG,Brazil,
CQA,SWEK,Brazil,
CQD,OIFS,Iran,
CQF,LFAC,France,
CQP,,Australia,Queensland
CQS,SWCQ,Brazil,
CQT,,Colombia,
CRA,LRCV,Romania,
CRB,YCBR,Australia,Queensland
CRC,SKGO,Colombia,
CRD,SAVC,Argentina,
CRF,FEFC,Central African Republic,
CRH,,Australia,Queensland
CRI,MYCI,Bahamas,
CRJ,,Australia,South Australia
CRK,RPLC,Philippines,
CRL,EBCI,Belgium,
CRM,RPVF,Philippines,
CRQ,SBCV,Brazil,
CRR,SANW,Argentina,
CRV,LIBC,Italy,
CRY,,Australia,Northern Territory
CSA,EGEY,United Kingdom,
CSB,LRCS,Romania,
CSC,MRCA,Costa Rica,
CSD,,Australia,Northern Territory
CSF,,France,
CSH,ULAS,Russia,
CSI,YCAS,Australia,Queensland
CSK,GOGS,Senegal,
CSO,,Germany,
CSR,,Colombia,
CSS,,Brazil,
CSU,SSSC,Brazil,
CSW,,Brazil,
CSX,ZGHA,China,Hunan
CSY,UWKS,Russia,
CSZ,,Argentina,
CTA,LICC,Italy,
CTC,SANC,Argentina,
CTD,,Panama,
CTE,,Panama,
CTF,MGCT,Guatemala,
CTG,SKCG,Colombia,
CTI,FNCV,Angola,
CTJ,,Italy,
CTL,YBCV,Australia,Queensland
CTM,MMCM,Mexico,
CTN,YCKN,Australia,Northern Territory
CTP,SNCP,Brazil,
CTQ,SSVP,Brazil,
CTR,,Australia,Northern Territory
CTS,RJCC,Japan,
CTT,LFMQ,France,
CTU,ZUUU,China,Sichuan
CUA,MMDA,Mexico,
CUC,SKCC,Colombia,
CUD,YCDR,Australia,Queensland
CUE,SECU,Ecuador,
CUF,LIMZ,Italy,
CUG,YCUA,Australia,New South Wales
CUI,,Colombia,
CUJ,,Philippines,
CUK,,Belize,
CUL,MMCL,Mexico,
CUM,SVCU,Venezuela,
CUN,MMUN,Mexico,
CUO,SKCR,Colombia,
CUP,SVCP,Venezuela,
CUQ,YCOE,Australia,Northern Territory
CUT,SAZW,Argentina,
CUU,MMCU,Mexico,
CUV,SVCG,Venezuela,
CUY,YCUE,Australia,Western Australia
CUZ,SPZO,Peru,
CVB,,Papua New Guinea,
CVC,YCEE,Australia,South Australia
CVE,,Colombia,
CVF,,France,
CVH,SAHE,Argentina,
CVI,,Argentina,
CVJ,MMCB,Mexico,
CVL,,Papua New Guinea,
CVM,MMCV,Mexico,
CVQ,YCAR,Australia,Western Australia
CVT,EGBE,United Kingdom,Isle of Man
CVU,LPCR,Portugal,
CWB,SBCT,Brazil,
CWC,UKLN,Ukraine,
CWL,EGFF,United Kingdom,Channel Islands
CWP,,Pakistan,
CWR,YCWI,Australia,South Australia
CWT,YCWR,Australia,Australian Capital Territory
CWW,YCOR,Australia,Victoria
CXA,SVCD,Venezuela,
CXB,VGCB,Bangladesh,
CXH,CYHC,Canada,British Columbia
CXJ,SBCX,Brazil,
CXN,HCMC,Somalia,
CXP,,Indonesia,
CXQ,,Australia,Northern Territory
CXT,YCHT,Australia,Queensland
CXY,MYCC,Bahamas,
CYA,,Haiti,
CYB,MWCB,United Kingdom,Cayman Islands
CYC,,Belize,
CYG,YCRG,Australia,Australian Capital Territory
CYL,,Honduras,
CYO,MUCL,Cuba,
CYP,RPVC,Philippines,
CYR,,Uruguay,
CYU,RPLO,Philippines,
CYW,MMCY,Mexico,
CYX,UESS,Russia,
CYZ,RPUY,Philippines,
CZA,MMCT,Mexico,
CZB,,Brazil,
CZE,SVCR,Venezuela,
CZH,,Belize,
CZJ,,Panama,
CZM,MMCZ,Mexico,
CZS,SBCZ,Brazil,
CZU,SKCZ,Colombia,
CZW,,Poland,
CZX,ZSCG,China,Jiangsu
CZY,YUNY,Australia,South Australia
DAC,VGZR,Bangladesh,
DAF,,Papua New Guinea,
DAH,,Yemen,
DAJ,,Australia,Northern Territory
DAK,HEDK,Egypt,
DAM,OSDI,Syria,
DAO,,Papua New Guinea,
DAP,VNDL,Nepal,
DAR,HTDA,Tanzania,
DAS,,Canada,Northwest Territories
DAT,ZBDT,China,Hebei
DAU,AYDU,Papua New Guinea,
DAV,MPDA,Panama,
DAX,ZUDX,China,Chongqing
DAZ,OADZ,Afghanistan,
DBA,OPDB,Pakistan,
DBB,HEAL,Egypt,
DBD,VEDB,India,
DBM,HADM,Ethiopia,
DBO,YSDU,Australia,New South Wales
DBP,,Papua New Guinea,
DBT,HADT,Ethiopia,
DBU,,Sri Lanka,
DBV,LDDU,Croatia,
DBY,YDAY,Australia,Queensland
DCF,TDCF,Dominica,
DCG,,United Arab Emirates,
DCI,,Italy,
DCM,LFCK,France,
DCN,YCIN,Australia,Northern Territory
DCP,,Canada,Diamond Princess
DCT,MYRD,Bahamas,
DCY,,China,Heilongjiang
DDB,,China,Xinjiang
DDG,ZYDD,China,Liaoning
DDI,,Australia,Queensland
DDM,,Papua New Guinea,
DDN,YDLT,Australia,Northern Territory
DDU,OP17,Pakistan,
DEA,OPDG,Pakistan,
DEB,LHDC,Hungary,
DED,VIDN,India,
DEE,UHSM,Russia,
DEF,OIAD,Iran,
DEI,FSSD,Seychelles,
DEL,VIDP,India,
DEM,HADD,Ethiopia,
DEP,VEDZ,India,
DER,,Papua New Guinea,
DES,FSDR,Seychelles,
DEY,,China,Xinjiang
DEZ,OSDZ,Syria,
DFP,YDDF,Australia,Northern Territory
DGA,,Belize,
DGD,,Australia,Western Australia
DGE,YMDG,Australia,New South Wales
DGF,,Canada,British Columbia
DGK,,Mozambique,
DGM,,Sri Lanka,
DGO,MMDO,Mexico,
DGP,EVDA,Latvia,
DGR,NZDA,New Zealand,
DGT,RPVD,Philippines,
DGU,DFOD,Burkina Faso,
DHA,OEDR,Saudi Arabia,
DHD,YDRH,Australia,Queensland
DHF,,United Arab Emirates,
DHI,VNDH,Nepal,
DHL,,Yemen,
DHM,VIGG,India,
DHO,,Canada,Diamond Princess
DHR,EHKD,Netherlands,
DIB,VEMN,India,
DIE,FMNA,Madagascar,
DIG,ZPDQ,China,Yunnan
DIJ,LFSD,France,
DIP,DFED,Burkina Faso,
DIQ,SNDV,Brazil,
DIR,HADR,Ethiopia,
DIU,VA1P,India,
DIW,,Sri Lanka,
DIY,LTCC,Turkey,
DJA,DBBD,Benin,
DJB,WIPA,Indonesia,
DJE,DTTJ,Tunisia,
DJJ,WAJJ,Indonesia,
DJU,BIDV,Iceland,
DKA,,Nigeria,
DKI,YDKI,Australia,Queensland
DKL,,Canada,Diamond Princess
DKR,GOOY,Senegal,
DKS,UODD,Russia,
DKV,YDVR,Australia,Northern Territory
DLA,FKKD,Cameroon,
DLB,,Papua New Guinea,
DLC,ZYTL,China,Liaoning
DLE,LFGJ,France,
DLK,YDLK,Australia,South Australia
DLM,LTBS,Turkey,
DLU,ZPDL,China,Yunnan
DLV,YDLV,Australia,Northern Territory
DLZ,ZMDZ,Mongolia,
DMB,UADD,Kazakhstan,
DMD,YDMG,Australia,Northern Territory
DME,UUDD,Russia,
DMK,VTBD,Thailand,
DMM,OEDF,Saudi Arabia,
DMR,,Yemen,
DMS,,Saudi Arabia,
DMT,SWDM,Brazil,
DMU,VEMR,India,
DNA,RODN,Japan,
DNB,YDBR,Australia,Northern Territory
DND,EGPN,United Kingdom,
DNF,,Libya,
DNG,,Australia,Northern Territory
DNH,ZLDH,China,Qinghai
DNI,,Sudan,
DNK,UKDD,Ukraine,
DNM,YSHK,Australia,Western Australia
DNO,SWDN,Brazil,
DNP,VNDG,Nepal,
DNQ,YDLQ,Australia,Victoria
DNR,LFRD,France,
DNU,,Papua New Guinea,
DNX,HSGG,Sudan,
DNZ,LTAY,Turkey,
DOA,,Madagascar,
DOB,WAPD,Indonesia,
DOC,,United Kingdom,
DOD,HTDO,Tanzania,
DOE,,Suriname,
DOG,HSDN,Sudan,
DOH,OTBD,Qatar,
DOI,,Papua New Guinea,
DOK,UKCC,Ukraine,
DOL,LFRG,France,
DOM,TDPD,Dominica,
DON,,Guatemala,
DOO,,Papua New Guinea,
DOP,VNDP,Nepal,
DOR,DFEE,Burkina Faso,
DOU,SSDO,Brazil,
DOX,,Australia,Western Australia
DOY,ZSDY,China,Shandong
DPE,,France,
DPL,RPMG,Philippines,
DPO,YDPO,Australia,Tasmania
DPS,WADD,Indonesia,
DQA,ZYDQ,China,Heilongjiang
DRB,YDBY,Australia,Northern Territory
DRC,,Angola,
DRD,YDOR,Australia,Northern Territory
DRH,,Indonesia,
DRJ,,Suriname,
DRK,MRDK,Costa Rica,
DRN,YDBI,Australia,Queensland
DRR,YDRI,Australia,South Australia
DRS,EDDC,Germany,
DRV,,Maldives,
DRW,YPDN,Australia,Northern Territory
DRX,,Germany,
DRY,,Australia,Northern Territory
DSA,EGCN,United Kingdom,Isle of Man
DSC,FKKS,Cameroon,
DSD,,France,Guadeloupe
DSE,HADC,Ethiopia,
DSG,,Philippines,
DSK,OPDI,Pakistan,
DSN,ZBDS,China,Shanxi
DTD,WALJ,Indonesia,
DTE,RPUD,Philippines,
DTI,SNDT,Brazil,
DTM,EDLW,Germany,
DUB,EIDW,Ireland,
DUD,NZDN,New Zealand,
DUE,FNDU,Angola,
DUI,,Germany,
DUK,,South Africa,
DUM,WIBD,Indonesia,
DUQ,CAM3,Canada,British Columbia
DUR,FALE,South Africa,
DUS,EDDL,Germany,
DVD,,Madagascar,
DVK,,Canada,Northwest Territories
DVO,RPMD,Philippines,
DVP,YDPD,Australia,South Australia
DVR,YDMN,Australia,Northern Territory
DWA,KDWA,Malawi,
DWB,,Madagascar,
DWC,,United Arab Emirates,
DWD,OEDW,Saudi Arabia,
DWR,,Afghanistan,
DXB,OMDB,United Arab Emirates,
DXD,,Australia,Northern Territory
DYA,YDYS,Australia,Queensland
DYG,ZGDY,China,Hunan
DYM,,Australia,South Australia
DYR,UHMA,Russia,
DYW,,Australia,Northern Territory
DZA,FMCZ,France,Mayotte
DZI,,Colombia,
DZN,UAKD,Kazakhstan,
DZO,SUDU,Uruguay,
DZU,,China,Chongqing
EAB,OYAB,Yemen,
EAM,OENG,Saudi Arabia,
EAS,LESO,Spain,
EBA,LIRJ,Italy,
EBB,HUEN,Uganda,
EBD,HSOB,Sudan,
EBG,,Colombia,
EBJ,EKEB,Denmark,
EBL,ORER,Iraq,
EBM,DTTR,Tunisia,
EBU,LFMH,France,
EBW,FKKW,Cameroon,
ECH,YECH,Australia,Victoria
ECN,LCEN,Cyprus,
ECO,,Colombia,
ECR,,Colombia,
EDB,HSDB,Sudan,
EDD,,Australia,South Australia
EDI,EGPH,United Kingdom,
EDL,HKED,Kenya,
EDM,LFRI,France,
EDO,LTFD,Turkey,
EDQ,,Honduras,
EDR,YPMP,Australia,Northern Territory
EEL,,Spain,
EEM,,Spain,
EER,,Spain,
EEU,,Spain,
EFG,,Papua New Guinea,
EFL,LGKF,Greece,
EGA,,Papua New Guinea,
EGC,LFBE,France,
EGL,HANG,Ethiopia,
EGN,HSGN,Sudan,
EGO,UUOB,Russia,
EGS,BIEG,Iceland,
EHL,SAVB,Argentina,
EIA,,Papua New Guinea,
EIB,,Germany,
EIE,UNII,Russia,
EIH,YEIN,Australia,Queensland
EIK,,Russia,
EIN,EHEH,Netherlands,
EIS,TUPJ,United Kingdom,British Virgin Islands
EIY,LLEY,Israel,
EJA,SKEJ,Colombia,
EJH,OEWJ,Saudi Arabia,
EKB,UASB,Kazakhstan,
EKD,,Australia,Northern Territory
EKE,,Guyana,
EKS,KEKS,Russia,
EKT,ESSU,Sweden,
ELB,SKBC,Colombia,
ELC,YELD,Australia,Northern Territory
ELE,,Panama,
ELF,HSFS,Sudan,
ELH,MYEH,Bahamas,
ELJ,,Colombia,
ELL,FAER,South Africa,
ELO,SATD,Argentina,
ELQ,OEGS,Saudi Arabia,
ELR,,Indonesia,
ELS,FAEL,South Africa,
ELT,HETR,Egypt,
ELX,,Venezuela,
EMA,EGNX,United Kingdom,Isle of Man
EMD,YEML,Australia,Queensland
EME,,Germany,
EMG,,South Africa,
EMI,,Papua New Guinea,
EML,,Switzerland,
EMN,GQNI,Mauritania,
EMO,,Papua New Guinea,
EMS,,Papua New Guinea,
EMX,SAVD,Argentina,
EMY,,Egypt,
ENB,YEEB,Australia,Western Australia
ENC,LFSN,France,
ENE,WATE,Indonesia,
ENF,EFET,Finland,
ENH,ZHES,China,Chongqing
ENI,,Philippines,
ENJ,,Guatemala,
ENK,EGAB,United Kingdom,Isle of Man
ENO,SGEN,Paraguay,
ENQ,,Honduras,
ENS,EHTW,Netherlands,
ENU,DNEN,Nigeria,
ENY,ZLYA,China,Shaanxi
EOH,SKMD,Colombia,
EOI,EGED,United Kingdom,
EOR,SVED,Venezuela,
EOZ,,Venezuela,
EPA,SADP,Argentina,
EPL,LFSG,France,
EPR,YESP,Australia,Western Australia
EPS,MDAB,Dominican Republic,
EPT,,Papua New Guinea,
EPU,EEPU,Estonia,
EQS,SAVE,Argentina,
ERA,HCMU,Somalia,
ERB,YERN,Australia,South Australia
ERC,LTCD,Turkey,
ERD,UKDB,Ukraine,
ERE,,Papua New Guinea,
ERF,EDDE,Germany,
ERG,UIKE,Russia,
ERH,GMFK,Morocco,
ERL,ZBER,China,Inner Mongolia
ERM,SSER,Brazil,
ERN,SWEI,Brazil,
ERQ,,Australia,Northern Territory
ERS,FYWE,Namibia,
ERT,,Mongolia,
ERU,,Papua New Guinea,
ERZ,LTCE,Turkey,
ESA,,Papua New Guinea,
ESB,LTAC,Turkey,
ESE,,Mexico,
ESG,SGME,Paraguay,
ESH,EGKA,United Kingdom,Channel Islands
ESI,,Brazil,
ESK,LTBI,Turkey,
ESL,URWI,Russia,
ESM,SEES,Ecuador,
ESS,EDLE,Germany,
ESU,GMMI,Morocco,
ETD,YEDA,Australia,South Australia
ETE,,Ethiopia,
ETH,LLET,Israel,
ETR,LFFY,Ecuador,
ETZ,LFJL,France,
EUC,YECL,Australia,South Australia
EUM,,Germany,
EUN,GMML,Morocco,
EUO,,Colombia,
EUQ,,Philippines,
EVD,YEVA,Australia,Northern Territory
EVE,ENEV,Norway,
EVG,ESND,Sweden,
EVH,YEVD,Australia,Queensland
EVN,UGEE,Armenia,
EVX,,France,
EWE,,Indonesia,
EWI,WABT,Indonesia,
EXM,,Australia,Western Australia
EXT,EGTE,United Kingdom,Channel Islands
EYK,USHQ,Russia,
EYL,GAYE,Mali,
EYP,SKYP,Colombia,
EYS,HKES,Kenya,
EZE,SAEZ,Argentina,
EZS,LTCA,Turkey,
EZV,USHB,Russia,
FAA,GUFH,Guinea,
FAB,EGLF,United Kingdom,Channel Islands
FAC,NTKF,France,French Polynesia
FAE,EKVG,Denmark,Faroe Islands
FAG,BIFM,Iceland,
FAH,OAFR,Afghanistan,
FAO,LPFR,Portugal,
FAQ,AYFR,Papua New Guinea,
FAS,BIFF,Iceland,
FAU,,Oman,
FAV,NTGF,France,French Polynesia
FAZ,OISF,Iran,
FBA,SWOB,Brazil,
FBD,OAFZ,Afghanistan,
FBE,SSFB,Brazil,
FCB,,South Africa,
FCN,,Germany,
FCO,LIRF,Italy,
FDE,ENBL,Norway,
FDF,TFFF,France,Martinique
FDH,EDNY,Germany,
FEA,,United Kingdom,
FEB,VNSR,Nepal,
FEC,,Brazil,
FEG,UTKF,Uzbekistan,
FEL,ETSF,Germany,
FEN,SBFN,Brazil,
FES,,Spain,
FEZ,GMFF,Morocco,
FFD,,United Kingdom,Channel Islands
FGD,GQPF,Mauritania,
FGL,,New Zealand,
FGR,,Spain,
FGU,NTGB,France,French Polynesia
FHZ,NTKH,France,French Polynesia
FIE,EGEF,United Kingdom,
FIG,GUFA,Guinea,
FIK,YFNE,Australia,South Australia
FIN,,Papua New Guinea,
FIZ,YFTZ,Australia,Northern Territory
FJR,OMFJ,United Arab Emirates,
FKB,EDSB,Germany,
FKJ,RJNF,Japan,
FKQ,WASF,Indonesia,
FKS,RJSF,Japan,
FLA,SKFL,Colombia,
FLB,SNQG,Brazil,
FLC,,Australia,Victoria
FLF,EDXF,Germany,
FLH,,United Kingdom,
FLI,,Iceland,
FLM,SGFI,Paraguay,
FLN,SBFL,Brazil,
FLR,LIRQ,Italy,
FLS,YFLI,Australia,Tasmania
FLW,LPFL,Portugal,
FLY,,Australia,Victoria
FMA,SARF,Argentina,
FMG,MRFL,Costa Rica,
FMM,EDJA,Germany,
FMO,EDDG,Germany,
FNA,GFLL,Sierra Leone,
FNB,ETNU,Germany,
FNC,LPMA,Portugal,
FNE,AYFA,Papua New Guinea,
FNG,DFEF,Burkina Faso,
FNH,HAFN,Ethiopia,
FNI,LFTW,France,
FNU,,Italy,
FOA,,United Kingdom,
FOC,ZSFZ,China,Fujian
FOG,LIBF,Italy,
FOI,,Italy,
FOM,FKKM,Cameroon,
FON,MRAN,Costa Rica,
FOO,,Indonesia,
FOR,SBFZ,Brazil,
FOS,YPFT,Australia,South Australia
FOT,YFST,Australia,New South Wales
FOU,FOGF,Gabon,
FOY,,Liberia,
FPO,MYGF,Bahamas,
FRA,EDDF,Germany,
FRB,YFBS,Australia,Australian Capital Territory
FRC,SIMK,Brazil,
FRK,FSSF,Seychelles,
FRL,LIPK,Italy,
FRO,ENFL,Norway,
FRQ,,Papua New Guinea,
FRS,MGTK,Guatemala,
FRU,UAFM,Kyrgyzstan,
FRW,FBFT,Botswana,
FRZ,ETHF,Germany,
FSA,,China,Guangdong
FSC,LFKF,France,
FSL,,Australia,Northern Territory
FSP,LFVP,France,Saint Pierre and Miquelon
FSS,EGQK,United Kingdom,
FSZ,RJNS,Japan,
FTE,SAWC,Argentina,
FTU,FMSD,Madagascar,
FUB,,Papua New Guinea,
FUE,GCFV,Spain,
FUG,ZSFY,China,Anhui
FUJ,RJFE,Japan,
FUK,RJFF,Japan,
FUM,,Papua New Guinea,
FUO,,China,Guangdong
FVL,,Australia,Northern Territory
FVM,VRMR,Maldives,
FVR,,Australia,Northern Territory
FWM,,United Kingdom,
FXO,FQCB,Mozambique,
FYG,,China,Hong Kong
GAA,,Colombia,
GAC,,Honduras,
GAE,,Tunisia,
GAF,DTTF,Tunisia,
GAH,YGAY,Australia,Queensland
GAJ,RJSC,Japan,
GAN,VRMG,Maldives,
GAO,MUGT,Cuba,
GAP,AYGP,Papua New Guinea,
GAQ,GAGO,Mali,
GAR,,Papua New Guinea,
GAS,HKGA,Kenya,
GAT,LFNA,France,
GAU,VEGT,India,
GAV,,Indonesia,
GAX,,Gabon,
GAY,VEGY,India,
GAZ,,Papua New Guinea,
GBB,UBBQ,Azerbaijan,
GBC,,Papua New Guinea,
GBE,FBSK,Botswana,
GBF,,Papua New Guinea,
GBI,,Bahamas,
GBJ,,France,Guadeloupe
GBK,GFGK,Sierra Leone,
GBL,,Australia,Northern Territory
GBM,,Somalia,
GBN,,Italy,
GBP,,Australia,Northern Territory
GBS,,New Zealand,
GBT,OING,Iran,
GBU,HSKG,Sudan,
GBV,YGIB,Australia,Northern Territory
GBZ,NZGB,New Zealand,
GCA,,Colombia,
GCH,,Iran,
GCJ,FAGC,South Africa,
GCM,MWCR,United Kingdom,Cayman Islands
GCV,,Brazil,
GDA,,Central African Republic,
GDD,YGDN,Australia,Northern Territory
GDE,HAGO,Ethiopia,
GDG,UHBI,Russia,
GDI,FEGL,Central African Republic,
GDL,MMGL,Mexico,
GDN,EPGD,Poland,
GDO,SVGD,Venezuela,
GDP,SNGD,Brazil,
GDQ,HAGN,Ethiopia,
GDT,MBGT,United Kingdom,Turks and Caicos Islands
GDX,UHMM,Russia,
GDZ,,Russia,
GEA,NWWM,France,New Caledonia
GEB,WAMJ,Indonesia,
GEC,,Cyprus,
GEE,YGTO,Australia,Queensland
GEI,,Papua New Guinea,
GEL,SBNM,Brazil,
GEN,,Spain,
GEO,SYCJ,Guyana,
GER,MUNG,Cuba,
GES,RPWB,Philippines,
GET,YGEL,Australia,Western Australia
GEV,ESNG,Sweden,
GEW,,Papua New Guinea,
GEX,YGLG,Australia,Victoria
GFE,,Australia,Australian Capital Territory
GFF,YGTH,Australia,Australian Capital Territory
GFN,YGFN,Australia,Queensland
GFO,SYBT,Guyana,
GFR,,France,
GFY,FYGF,Namibia,
GGA,,Spain,
GGC,,Angola,
GGD,YGDS,Australia,Northern Territory
GGL,,Colombia,
GGM,HKKG,Kenya,
GGR,,Somalia,
GGS,SAWR,Argentina,
GGT,MYEF,Bahamas,
GHB,MYEM,Bahamas,
GHC,MYBG,Bahamas,
GHE,,Panama,
GHN,,China,Chongqing
GHT,HLGT,Libya,
GHU,SAAG,Argentina,
GIB,LXGB,United Kingdom,Gibraltar
GIC,YBOI,Australia,Northern Territory
GID,,Burundi,
GIG,SBGL,Brazil,
GII,GUSI,Guinea,
GIL,OPGT,Pakistan,
GIM,,Gabon,
GIR,SKGI,Colombia,
GIS,NZGS,New Zealand,
GIT,,Tanzania,
GIU,VCCS,Sri Lanka,
GIY,FAGI,South Africa,
GIZ,OEGN,Saudi Arabia,
GJA,MHNJ,Honduras,
GJM,SBGM,Brazil,
GJR,BIGJ,Iceland,
GKA,AYGA,Papua New Guinea,
GKD,LTFK,Turkey,
GKE,ETNG,Germany,
GKH,VNGK,Nepal,
GKL,,Australia,Queensland
GKO,,Gabon,
GLA,EGPF,United Kingdom,
GLC,,Ethiopia,
GLF,MRGF,Costa Rica,
GLG,YGLE,Australia,South Australia
GLI,YGLI,Australia,Queensland
GLK,HCMR,Somalia,
GLL,ENKL,Norway,
GLM,YGLO,Australia,South Australia
GLN,,Morocco,
GLO,EGBJ,United Kingdom,Channel Islands
GLP,,Papua New Guinea,
GLT,YGLA,Australia,Queensland
GLX,WAMA,Indonesia,
GLY,,Australia,Western Australia
GLZ,EHGR,Netherlands,
GMB,HAGM,Ethiopia,
GMC,,Colombia,
GMD,GMMB,Morocco,
GME,UMGG,Belarus,
GMI,,Papua New Guinea,
GMN,NZGM,New Zealand,
GMO,DNGO,Nigeria,
GMR,NTGJ,France,French Polynesia
GMS,SNGM,Brazil,
GMZ,GCGM,Spain,
GNA,UMMG,Belarus,
GNB,LFLS,France,
GNM,SNGI,Brazil,
GNN,HAGH,Ethiopia,
GNR,SAHR,Argentina,
GNS,WIMB,Indonesia,
GNY,LTCH,Turkey,
GNZ,FBGZ,Botswana,
GOA,LIMJ,Italy,
GOB,HAGB,Ethiopia,
GOC,,Papua New Guinea,
GOE,,Papua New Guinea,
GOG,FYGB,Namibia,
GOH,BGGH,Denmark,Greenland
GOI,VAGO,India,
GOJ,UWGG,Russia,
GOO,YGDI,Australia,Queensland
GOP,VEGK,India,
GOQ,ZLGM,China,Qinghai
GOR,HAGR,Ethiopia,
GOS,,Australia,New South Wales
GOT,ESGG,Sweden,
GOU,FKKR,Cameroon,
GOV,YPGV,Australia,Northern Territory
GOY,VCCG,Sri Lanka,
GOZ,LBGO,Bulgaria,
GPA,LGRX,Greece,
GPB,SSUW,Brazil,
GPD,,Australia,Northern Territory
GPI,SKGP,Colombia,
GPL,MRGP,Costa Rica,
GPN,YGPT,Australia,Northern Territory
GPO,SAZG,Argentina,
GPS,SEGS,Ecuador,
GRA,,Colombia,
GRC,,Liberia,
GRG,,Afghanistan,
GRH,,Papua New Guinea,
GRJ,FAGG,South Africa,
GRL,,Papua New Guinea,
GRO,LEGE,Spain,
GRP,SWGI,Brazil,
GRQ,EHGG,Netherlands,
GRS,LIRS,Italy,
GRT,,Pakistan,
GRU,SBGR,Brazil,
GRV,URMG,Russia,
GRW,LPGR,Portugal,
GRX,LEGR,Spain,
GRY,BIGR,Iceland,
GRZ,LOWG,Austria,
GSA,WBKN,Malaysia,
GSC,,Australia,Western Australia
GSE,ESGP,Sweden,
GSJ,MGSJ,Guatemala,
GSL,,Canada,Northwest Territories
GSM,,Iran,
GSN,YMGN,Australia,South Australia
GSQ,HEOW,Egypt,
GSR,HCMG,Somalia,
GSS,FASE,South Africa,
GSU,,Sudan,
GTC,,Bahamas,
GTE,YGTE,Australia,Northern Territory
GTI,,Germany,
GTK,,Malaysia,
GTN,NZMC,New Zealand,
GTO,WAMG,Indonesia,
GTS,YGDW,Australia,South Australia
GTT,YGTN,Australia,Queensland
GTZ,,Tanzania,
GUA,MGGT,Guatemala,
GUB,MMGR,Mexico,
GUD,GAGM,Mali,
GUE,,Papua New Guinea,
GUG,,Papua New Guinea,
GUH,YGDH,Australia,New South Wales
GUI,SVGI,Venezuela,
GUJ,SBGW,Brazil,
GUL,YGLB,Australia,Australian Capital Territory
GUO,,Honduras,
GUQ,SVGU,Venezuela,
GUR,AYGN,Papua New Guinea,
GUT,ETUO,Germany,
GUU,BIGF,Iceland,
GUV,,Papua New Guinea,
GUW,UATG,Kazakhstan,
GUX,VAGN,India,
GUZ,SNGA,Brazil,
GVA,LSGG,Switzerland,
GVI,,Papua New Guinea,
GVN,,Russia,
GVP,YGNV,Australia,Northern Territory
GVR,SNGV,Brazil,
GVX,ESSK,Sweden,
GWD,OPGD,Pakistan,
GWE,FVTL,Zimbabwe,
GWL,VIGR,India,
GWT,EDXW,Germany,
GWY,EICM,Ireland,
GXF,OYSY,Yemen,
GXG,FNNG,Angola,
GXX,FKKJ,Cameroon,
GYA,SLGY,Bolivia,
GYD,UBBB,Azerbaijan,
GYE,SEGU,Ecuador,
GYI,HRYG,Rwanda,
GYL,YARG,Australia,Northern Territory
GYM,MMGM,Mexico,
GYN,SBGO,Brazil,
GYP,YGYM,Australia,Queensland
GYS,ZUGU,China,Chongqing
GYU,,China,Xinjiang
GZI,,Afghanistan,
GZM,,Malta,
GZP,LTFG,Turkey,
GZT,LTAJ,Turkey,
