codeIataAirport,County,Province/State,Country/Region,LatAirport,LongAirport
AGN,Sitka,Alaska,US,57.503887,-134.58333
AGO,Columbia,Arkansas,US,33.266666,-93.23333
AGP,,,Spain,36.675182,-4.489616
AGR,,,India,27.158333,77.962776
AGS,Richmond,Georgia,US,33.373665,-81.973434
AGT,,,Paraguay,-25.5,-54.833332
AGU,,,Mexico,21.701416,-102.31374
AGV,,,Venezuela,9.552222,-69.23333
AGW,,Northern Territory,Australia,-12.15,142.15
AGX,,,India,10.828967,72.17987
AGZ,,,South Africa,-29.05,18.85
AHA,,,Japan,26.2,127.65
AHB,,,Saudi Arabia,18.23429,42.657574
AHC,Plumas,California,US,40.15,-120.13333
AHD,Carter,Oklahoma,US,34.166668,-97.13333
AHE,,French Polynesia,France,-14.428056,-146.25694
AHF,Furnas,Nebraska,US,40.3,-99.9
AHH,Polk,Wisconsin,US,45.3,-92.35
AHI,,,Indonesia,-3.333333,128.91667
AHL,,,Guyana,2.483333,-59.316666
AHM,,Virgin Islands,US,0.0,0.0
AHN,Clarke,Georgia,US,33.95195,-83.32472
AHO,,,Italy,40.630405,8.295891
AHS,,,Honduras,15.441667,-84.425
AHU,,,Morocco,35.17972,-3.836944
AHW,,,Oman,31.34292,48.74668
AHY,,,Madagascar,-20.016666,45.533333
AHZ,,,France,45.083332,6.083333
AIA,Box Butte,Nebraska,US,42.051666,-102.80666
AIB,Wrangell,Alaska,US,56.233334,-132.38333
AID,Madison,Indiana,US,40.166668,-85.683334
AIE,,,Papua New Guinea,-5.166667,144.66667
AIF,,,Brazil,-22.666668,-50.416668
AIG,,,Central African Republic,6.516667,23.25
AIH,,,Papua New Guinea,-7.348611,141.26639
AII,,,Djibouti,11.15,42.716667
AIK,Aiken,South Carolina,US,33.566666,-81.71667
AIL,,,Panama,9.25,-78.083336
AIN,North Slope,Alaska,US,70.63333,-160.03334
AIO,Cass,Iowa,US,41.4,-95.01667
AIR,,,Brazil,-10.25,-59.38333
AIV,Pickens,Alabama,US,33.13333,-88.15
AIZ,Miller,Missouri,US,38.09833,-92.54722
AJA,,,France,41.91987,8.794013
AJF,,,Saudi Arabia,29.788668,40.101486
AJI,,,Turkey,39.65,43.025
AJJ,,,Mauritania,19.730556,-14.374444
AJK,,,Iran,34.13333,49.833332
AJL,,,India,23.838985,92.62482
AJR,,,Sweden,65.59139,19.285557
AJS,,,Mexico,26.833332,-113.666664
AJU,,,Brazil,-10.987206,-37.072792
AJY,,,Niger,16.964167,7.993056
AKA,,Shaanxi,China,32.7091,108.936
AKB,Aleutians East,Alaska,US,52.21722,-174.20084
AKC,Summit,Ohio,US,41.04,-81.46778
AKD,,,India,20.666668,77.083336
AKE,,,Gabon,-1.172222,13.916667
AKF,,,Libya,24.2,23.333332
AKG,,,Papua New Guinea,-3.633333,142.01666
AKH,,,Saudi Arabia,24.063334,47.580555
AKI,Bethel,Alaska,US,60.905556,-161.22333
AKJ,,,Japan,43.67109,142.45454
AKK,Kodiak Island,Alaska,US,56.944443,-154.16667
AKL,,,New Zealand,-37.004787,174.78352
AKM,,,Chad,10.883333,19.816668
AKN,Bristol Bay,Alaska,US,58.68274,-156.66902
AKO,Washington,Colorado,US,40.166668,-103.21667
AKP,North Slope,Alaska,US,68.1375,-151.74
AKQ,,,Indonesia,-4.616667,105.23333
AKR,,,Nigeria,7.25,5.083333
AKT,,,Cyprus,34.583332,32.983334
AKU,,Xinjiang,China,41.259983,80.29262
AKV,,Quebec,Canada,60.733334,-78.583336
AKW,,,Iran,30.75,49.683334
AKX,,,Kazakhstan,50.249336,57.211403
AKY,,,Burma,20.130278,92.88028
ALA,,,Kazakhstan,43.346653,77.01145
ALB,Albany,New York,US,42.745277,-73.809555
ALC,,,Spain,38.287098,-0.557381
ALD,,,Peru,-11.683333,-69.333336
ALE,Jeff Davis,Texas,US,30.416668,-103.75
ALF,,,Norway,69.977165,23.355808
ALG,,,Algeria,36.70058,3.21167
ALH,,Western Australia,Australia,-34.944996,117.804
ALI,Jim Wells,Texas,US,27.75,-98.066666
ALJ,,,South Africa,-28.567223,16.536388
ALK,,,Ethiopia,7.966667,39.11667
ALL,,,Italy,44.05,8.216667
ALM,Otero,New Mexico,US,32.845833,-105.985275
ALN,Madison,Illinois,US,38.891666,-90.04833
ALO,Black Hawk,Iowa,US,42.55611,-92.39972
ALP,,,Syria,36.185352,37.227074
ALQ,,,Brazil,-29.799723,-55.763332
ALR,,,New Zealand,-45.21389,169.36945
ALS,Alamosa,Colorado,US,37.43667,-105.86667
ALT,,,Brazil,-1.933333,-54.766666
ALU,,,Somalia,11.966667,50.8
ALW,Walla Walla,Washington,US,46.094723,-118.291115
ALX,Tallapoosa,Alabama,US,32.933334,-85.95
ALY,,,Egypt,31.192545,29.953058
ALZ,Kodiak Island,Alaska,US,56.895832,-154.24583
AMA,Potter,Texas,US,35.218273,-101.70513
AMB,,,Madagascar,-13.183333,48.983334
AMC,,,Chad,11.033333,20.283333
AMD,,,India,23.06639,72.62417
AME,,,Mozambique,-15.833333,37.583332
AMF,,,Papua New Guinea,-4.166667,141.66667
AMG,,,Papua New Guinea,-4.616667,143.7
AMH,,,Ethiopia,6.036111,37.576942
AMJ,,,Brazil,-16.183332,-40.683334
AMK,La Plata,Colorado,US,37.15,-107.75
AMM,,,Jordan,31.722534,35.98932
AMN,Gratiot,Michigan,US,43.38333,-84.65
AMO,,,Chad,14.116667,15.316667
AMP,,,Madagascar,-24.7,44.733334
AMQ,,,Indonesia,-3.704996,128.08888
AMS,,,Netherlands,52.30907,4.763385
AMT,,South Australia,Australia,-26.766666,132.03334
AMU,,,Papua New Guinea,-3.516667,141.15
AMV,,,Russia,69.76667,61.55
AMW,Story,Iowa,US,41.994167,-93.61833
AMX,,Northern Territory,Australia,-21.74,135.24
AMY,,,Madagascar,-17.683332,45.666668
AMZ,,,New Zealand,-37.033333,174.96666
ANA,Orange,California,US,33.816666,-117.933334
ANB,Calhoun,Alabama,US,33.59028,-85.855835
ANC,Anchorage,Alaska,US,61.174442,-149.99638
AND,Anderson,South Carolina,US,34.49361,-82.71
ANE,,,France,47.466667,-0.55
ANF,,,Chile,-23.449,-70.44079
ANG,,,France,45.733334,0.216667
ANI,Bethel,Alaska,US,61.574398,-159.53697
ANJ,,,Congo (Brazzaville),-2.85,13.833333
ANK,,,Turkey,39.983334,32.833332
ANL,,,Angola,-11.25,17.25
ANM,,,Madagascar,-15.0,50.316666
ANN,Ketchikan Gateway,Alaska,US,55.036945,-131.57056
ANO,,,Mozambique,-16.177778,39.936943
ANP,Anne Arundel,Maryland,US,38.983334,-76.5
ANQ,Steuben,Indiana,US,41.63333,-85.0
ANR,,,Belgium,51.18916,4.450672
ANS,,,Peru,-13.716667,-73.355835
ANT,,,Austria,47.15,10.283333
ANU,,,Antigua and Barbuda,17.108334,-61.76389
ANV,Kusilvak,Alaska,US,62.647778,-160.18889
ANW,Brown,Nebraska,US,42.55,-99.86667
ANX,,,Norway,69.30492,16.133326
ANY,Harper,Kansas,US,37.15,-98.03333
ANZ,,South Australia,Australia,-25.083332,132.16667
AOB,,,Papua New Guinea,-4.916667,144.65
AOC,,,Germany,50.983334,12.45
AOD,,,Chad,11.474722,19.288889
AOE,,,Turkey,39.81,30.519444
AOG,,Liaoning,China,41.166668,123.03333
AOH,Allen,Ohio,US,40.766666,-84.1
AOI,,,Italy,43.60691,13.355723
AOJ,,,Japan,40.738758,140.68922
AOK,,,Greece,35.420685,27.146729
AOL,,,Argentina,-29.683332,-57.15
AOM,,,Oman,40.738758,140.68922
AON,,,Papua New Guinea,-6.333333,146.0
AOO,Blair,Pennsylvania,US,40.297222,-78.32
AOP,,,Peru,-2.90464,-76.40236
AOR,,,Malaysia,6.201171,100.405266
AOS,Kodiak Island,Alaska,US,57.466667,-153.83333
AOT,,,Italy,45.73861,7.3625
AOU,,,Laos,14.8,106.833336
APA,Denver,Colorado,US,39.733334,-104.98333
