codeIataAirport,County,Province/State,Country/Region,LatAirport,LongAirport
CVG,Boone,Kentucky,US,39.0555,-84.66145
CVH,,,Argentina,-37.916668,-71.0
CVI,,,Argentina,-46.416668,-67.416664
CVJ,,,Mexico,18.916668,-99.25
CVL,,,Papua New Guinea,-9.466667,150.5
CVM,,,Mexico,23.713888,-98.96528
CVN,Parmer,Texas,US,34.427223,-103.07889
CVO,Benton,Oregon,US,44.63333,-123.11667
CVQ,,Western Australia,Australia,-24.883429,113.66358
CVS,Curry,New Mexico,US,34.38389,-103.316666
CVT,,Isle of Man,United Kingdom,52.369167,-1.478611
CVU,,,Portugal,39.7,-31.1
CWA,Marathon,Wisconsin,US,44.78421,-89.67244
CWB,,,Brazil,-25.5322,-49.176544
CWC,,,Ukraine,48.266666,25.966667
CWF,Calcasieu,Louisiana,US,30.305918,-93.23189
CWG,Harris,Georgia,US,32.84028,-84.8825
CWI,Clinton,Iowa,US,41.829445,-90.33195
CWL,,Channel Islands,United Kingdom,51.39877,-3.339075
CWO,Palo Pinto,Texas,US,32.8,-98.11667
CWP,,,Pakistan,33.766666,72.433334
CWR,,South Australia,Australia,-27.716667,138.33333
CWS,Kitsap,Washington,US,47.485,-122.83139
CWT,,Australian Capital Territory,Australia,-33.855,148.64667
CWW,,Victoria,Australia,-35.966667,146.35
CWX,Cochise,Arizona,US,32.25285,-109.83201
CXA,,,Venezuela,7.533333,-66.15
CXB,,,Bangladesh,21.45,91.96667
CXC,Valdez-Cordova,Alaska,US,61.583332,-144.42778
CXF,Yukon-Koyukuk,Alaska,US,67.26667,-150.16667
CXH,,British Columbia,Canada,49.266666,-123.11667
CXJ,,,Brazil,-29.166668,-51.183334
CXL,Imperial,California,US,32.666668,-115.51667
CXN,,,Somalia,11.5,49.916668
CXO,Montgomery,Texas,US,30.316668,-95.45
CXP,,,Indonesia,-7.733333,109.0
CXQ,,Northern Territory,Australia,-18.866667,125.916664
CXR,,,Vietnam,11.993611,109.225
CXT,,Queensland,Australia,-20.046667,146.26917
CXY,,,Bahamas,25.416668,-77.816666
CYA,,,Haiti,18.269722,-73.78833
CYB,,Cayman Islands,United Kingdom,19.690191,-79.87941
CYC,,,Belize,17.666668,-88.833336
CYE,Luzerne,Pennsylvania,US,41.210278,-75.83222
CYF,Kusilvak,Alaska,US,60.216667,-164.2
CYG,,Australian Capital Territory,Australia,-36.25,147.9
CYI,,,Taiwan*,23.466667,120.38333
CYL,,,Honduras,15.0,-86.5
CYM,Sitka,Alaska,US,57.5,-135.0
CYO,,,Cuba,21.616667,-81.51667
CYP,,,Philippines,12.075833,124.54305
CYR,,,Uruguay,-34.166668,-57.5
CYS,Laramie,Wyoming,US,41.155834,-104.816666
CYT,Yakutat,Alaska,US,60.08,-142.49445
CYU,,,Philippines,10.883333,121.0
CYW,,,Mexico,20.55,-100.9
CYX,,,Russia,68.75,161.35
CYZ,,,Philippines,16.93,121.75584
CZA,,,Mexico,20.666668,-88.566666
CZB,,,Brazil,-28.641666,-53.558334
CZC,Valdez-Cordova,Alaska,US,61.966667,-145.3
CZE,,,Venezuela,11.415833,-69.681946
CZF,Kusilvak,Alaska,US,61.781113,-166.03639
CZH,,,Belize,18.383333,-88.416664
CZJ,,,Panama,9.570556,-79.368614
CZK,Hood River,Oregon,US,45.666668,-121.9
CZL,,,Algeria,36.286476,6.618425
CZM,,,Mexico,20.5112,-86.930466
CZN,Valdez-Cordova,Alaska,US,62.07083,-142.05
CZO,Valdez-Cordova,Alaska,US,62.566666,-144.66667
CZP,Prince of Wales-Hyder,Alaska,US,55.966667,-133.78528
CZS,,,Brazil,-7.583333,-72.78333
CZT,Dimmit,Texas,US,28.516666,-99.86667
CZU,,,Colombia,9.3375,-75.282776
CZW,,,Poland,50.816666,19.1
CZX,,Jiangsu,China,31.914116,119.77976
CZY,,South Australia,Australia,-24.516666,139.53334
CZZ,Baca,Colorado,US,37.1,-102.583336
DAA,Appomattox,Virginia,US,37.5,-78.75
DAB,Volusia,Florida,US,29.185192,-81.06083
DAC,,,Bangladesh,23.848648,90.405876
DAD,,,Vietnam,16.055399,108.20298
DAF,,,Papua New Guinea,-4.733333,144.95
DAG,Orange,California,US,34.25,-117.333336
DAH,,,Yemen,13.866667,46.13333
DAJ,,Northern Territory,Australia,-9.433333,142.53334
DAK,,,Egypt,25.414722,28.999166
DAL,Dallas,Texas,US,32.84391,-96.85
DAM,,,Syria,33.41117,36.51249
DAN,Danville,Virginia,US,36.573055,-79.335
DAO,,,Papua New Guinea,-8.433056,147.84944
DAP,,,Nepal,29.666668,80.5
DAR,,,Tanzania,-6.873533,39.20211
DAS,,Northwest Territories,Canada,66.70306,-119.712776
DAT,,Hebei,China,40.05554,113.48136
DAU,,,Papua New Guinea,-9.08351,143.20605
DAV,,,Panama,8.383333,-82.433334
DAX,,Chongqing,China,31.135012,107.42689
DAY,Montgomery,Ohio,US,39.898006,-84.220764
DAZ,,,Afghanistan,38.466667,70.88333
DBA,,,Pakistan,28.883333,64.416664
DBB,,,Egypt,30.924444,28.46139
DBD,,,India,23.783333,86.45
DBM,,,Ethiopia,10.319444,37.743057
DBN,Laurens,Georgia,US,32.561943,-82.986115
DBO,,New South Wales,Australia,-32.218822,148.56956
DBP,,,Papua New Guinea,-6.283333,141.9
DBQ,Dubuque,Iowa,US,42.41,-90.71083
DBS,Clark,Idaho,US,44.166668,-112.23333
DBT,,,Ethiopia,11.968056,38.025276
DBU,,,Sri Lanka,7.86,80.651665
DBV,,,Croatia,42.56072,18.260616
DBY,,Queensland,Australia,-27.15,151.26666
DCA,Alexandria,Virginia,US,38.853436,-77.04346
DCF,,,Dominica,15.5,-61.333332
DCG,,,United Arab Emirates,25.2644444,55.3116667
DCI,,,Italy,39.35,8.966667
DCK,Northwest Arctic,Alaska,US,66.95,-156.9
DCM,,,France,43.555832,2.284167
DCN,,Northern Territory,Australia,-17.573702,123.82323
DCP,,Diamond Princess,Canada,0.0,0.0
DCT,,,Bahamas,22.25,-75.75
DCU,Morgan,Alabama,US,34.6,-86.98333
DCY,,Heilongjiang,China,38.70436,-87.24733
DDB,,Xinjiang,China,0.0,0.0
DDC,Ford,Kansas,US,37.761665,-99.965
DDG,,Liaoning,China,40.032368,124.28081
DDI,,Queensland,Australia,-20.266666,148.81667
DDM,,,Papua New Guinea,-8.483333,145.16667
DDN,,Northern Territory,Australia,-16.916668,141.3
DDU,,,Pakistan,26.75,67.75
DEA,,,Pakistan,29.960556,70.485275
DEB,,,Hungary,47.55,21.7
DEC,Macon,Illinois,US,39.834167,-88.868614
DED,,,India,30.316668,78.03333
DEE,,,Russia,43.9584,145.683
DEF,,,Iran,32.438828,48.38468
DEH,Winneshiek,Iowa,US,43.3,-91.8
DEI,,,Seychelles,-3.8,55.666668
DEL,,,India,28.556555,77.10079
DEM,,,Ethiopia,8.571111,34.88333
DEN,Denver,Colorado,US,39.84939,-104.672844
DEO,Wayne,Michigan,US,42.3,-83.166664
DEP,,,India,27.35,94.0
DER,,,Papua New Guinea,-6.1,147.08333
DES,,,Seychelles,-5.683333,53.683334
DET,Wayne,Michigan,US,42.416668,-83.01667
DEY,,Xinjiang,China,0.0,0.0
DEZ,,,Syria,35.28755,40.186806
DFI,Defiance,Ohio,US,41.283333,-84.36667
DFP,,Northern Territory,Australia,-16.0,143.33333
DFW,Tarrant,Texas,US,32.89746,-97.036125
DGA,,,Belize,17.183332,-88.566666
DGB,Kodiak Island,Alaska,US,58.083332,-152.75
DGD,,Western Australia,Australia,-27.818056,117.30139
DGE,,New South Wales,Australia,-32.566666,149.61667
DGF,,British Columbia,Canada,50.166668,-120.183334
DGK,,,Mozambique,-22.1772,35.4233
DGL,Cochise,Arizona,US,31.35,-109.566666
DGM,,,Sri Lanka,23.03,113.74
DGN,Hamilton,Illinois,US,38.2,-88.683334
DGO,,,Mexico,24.125,-104.525
DGP,,,Latvia,55.88333,26.533333
DGR,,,New Zealand,-35.933334,173.88333
DGT,,,Philippines,9.332543,123.29601
DGU,,,Burkina Faso,12.466667,-3.483333
DGW,Converse,Wyoming,US,42.75,-105.4
DHA,,,Saudi Arabia,26.39286,50.17475
DHB,San Juan,Washington,US,48.618397,-123.00596
DHD,,Queensland,Australia,-26.1,149.08333
DHF,,,United Arab Emirates,24.433332,54.65
DHI,,,Nepal,28.683332,80.63333
DHL,,,Yemen,13.7375,44.729168
DHM,,,India,32.3,76.26667
DHN,Dale,Alabama,US,31.32,-85.44833
DHO,,Diamond Princess,Canada,0.0,0.0
DHR,,,Netherlands,52.95,4.75
DHT,Dallam,Texas,US,36.066666,-102.51667
DIB,,,India,27.482908,95.021065
DIE,,,Madagascar,-12.346111,49.2925
DIG,,Yunnan,China,27.789722,99.67778
DIJ,,,France,47.270832,5.088889
DIK,Stark,North Dakota,US,46.833332,-102.9
DIL,,,Timor-Leste,-8.549616,125.525
DIM,,,Cote d'Ivoire,6.75,-4.766667
DIN,,,Vietnam,21.383333,103.0
DIO,Nome,Alaska,US,65.75,-168.95
DIP,,,Burkina Faso,12.033333,2.033333
DIQ,,,Brazil,-20.181389,-44.869446
DIR,,,Ethiopia,9.61338,41.857994
DIS,,,Congo (Brazzaville),-4.205556,12.661389
DIU,,,India,20.716667,70.916664
DIV,,,Cote d'Ivoire,5.8,-5.25
DIW,,,Sri Lanka,5.990751,80.73323
DIY,,,Turkey,37.903873,40.20458
DJA,,,Benin,9.7,1.666667
DJB,,,Indonesia,-1.630432,103.63936
DJE,,,Tunisia,33.87118,10.775145
DJG,,,Algeria,24.465279,9.488889
DJJ,,,Indonesia,-2.569887,140.51299
DJM,,,Congo (Brazzaville),-2.533333,14.75
DJN,Fairbanks North Star,Alaska,US,64.03333,-145.68333
DJO,,,Cote d'Ivoire,6.866944,-6.466667
DJU,,,Iceland,64.650276,-14.268333
DKA,,,Nigeria,13.003712,7.660803
DKI,,Queensland,Australia,-17.941668,146.13667
DKK,Chautauqua,New York,US,42.483334,-79.333336
DKL,,Diamond Princess,Canada,0.0,0.0
DKR,,,Senegal,14.744975,-17.490194
DKS,,,Russia,73.51667,80.36667
DKV,,Northern Territory,Australia,-24.866667,129.08333
DLA,,,Cameroon,4.01346,9.717018
DLB,,,Papua New Guinea,0.0,0.0
DLC,,Liaoning,China,38.96102,121.53999
DLE,,,France,47.05,5.433333
DLF,Kinney,Texas,US,29.366667,-100.9
DLG,Dillingham,Alaska,US,59.04246,-158.51472
DLH,Carlton,Minnesota,US,46.838974,-92.18019
DLI,,,Vietnam,11.749689,108.37603
DLK,,South Australia,Australia,-29.016666,139.46666
DLL,Dillon,South Carolina,US,34.416668,-79.36667
DLM,,,Turkey,36.716667,28.783333
DLN,Beaverhead,Montana,US,45.216667,-112.63333
DLO,Ketchikan Gateway,Alaska,US,55.122223,-132.05
DLS,Hood River,Oregon,US,45.6,-121.166664
DLU,,Yunnan,China,25.65135,100.32316
DLV,,Northern Territory,Australia,-12.566667,130.63333
DLZ,,,Mongolia,43.966667,104.683334
DMA,Santa Cruz,Arizona,US,32.166668,-110.88333
DMB,,,Kazakhstan,42.9,71.36667
DMD,,Northern Territory,Australia,-17.939201,138.8216
DME,,,Russia,55.414566,37.899494
DMK,,,Thailand,13.9125,100.60667
DMM,,,Saudi Arabia,26.471111,49.79778
DMN,Luna,New Mexico,US,32.266666,-107.75
DMO,Pettis,Missouri,US,38.704166,-93.18056
DMR,,,Yemen,14.533333,44.433334
DMS,,,Saudi Arabia,0.0,0.0
DMT,,,Brazil,-14.5,-56.5
DMU,,,India,25.879816,93.772865
DNA,,,Japan,26.35,127.76667
DNB,,Northern Territory,Australia,-16.010834,142.39055
DND,,,United Kingdom,56.45409,-3.014531
DNE,Tarrant,Texas,US,32.75,-97.38333
DNF,,,Libya,32.55,22.766666
DNG,,Northern Territory,Australia,-15.383333,126.3
DNH,,Qinghai,China,40.2,94.683334
DNI,,,Sudan,14.393889,33.543888
DNK,,,Ukraine,48.36874,35.09446
DNL,Richmond,Georgia,US,33.466667,-81.96667
DNM,,Western Australia,Australia,-25.916668,113.53333
DNN,Whitfield,Georgia,US,34.766666,-84.96667
DNO,,,Brazil,-11.616667,-46.85
DNP,,,Nepal,28.116667,82.316666
DNQ,,Victoria,Australia,-35.56,144.95166
DNR,,,France,48.587776,-2.083611
DNS,Crawford,Iowa,US,42.016666,-95.35
DNT,Orange,California,US,33.766666,-117.86667
DNU,,,Papua New Guinea,-6.15,146.66667
DNV,Vermilion,Illinois,US,40.197224,-87.59695
DNX,,,Sudan,14.1,33.066666
DNZ,,,Turkey,37.787224,29.703333
DOA,,,Madagascar,-14.366667,49.5
DOB,,,Indonesia,-5.75,134.0
DOC,,,United Kingdom,57.86667,-4.033333
DOD,,,Tanzania,-6.166667,35.75028
DOE,,,Suriname,4.016667,-55.483334
DOF,Prince of Wales-Hyder,Alaska,US,55.2125,-132.26666
DOG,,,Sudan,19.183332,30.45
DOH,,,Qatar,25.267569,51.558067
DOI,,,Papua New Guinea,-10.716667,150.71666
DOK,,,Ukraine,48.083332,37.75
DOL,,,France,49.362778,0.164167
DOM,,,Dominica,15.543056,-61.309166
DON,,,Guatemala,17.633333,-89.666664
DOO,,,Papua New Guinea,-9.266667,147.55
DOP,,,Nepal,29.0,82.816666
DOR,,,Burkina Faso,14.033333,-0.033333
DOU,,,Brazil,-22.202778,-54.925556
DOV,Kent,Delaware,US,39.128613,-75.464165
DOX,,Western Australia,Australia,-29.25,114.933334
DOY,,Shandong,China,37.518333,118.78778
DPA,DuPage,Illinois,US,41.914444,-88.24639
DPE,,,France,49.961388,1.241111
DPG,Tooele,Utah,US,40.233334,-112.75
DPL,,,Philippines,8.599978,123.34418
DPO,,Tasmania,Australia,-41.172054,146.42754
DPS,,,Indonesia,-8.74446,115.16331
DQA,,Heilongjiang,China,46.58736,125.22841
DRA,Clark,Nevada,US,36.666668,-115.96667
DRB,,Northern Territory,Australia,-17.373333,123.6525
DRC,,,Angola,-17.833332,20.7
DRD,,Northern Territory,Australia,-16.5,142.33333
DRE,Chippewa,Michigan,US,46.016666,-83.75
DRF,Kenai Peninsula,Alaska,US,60.583332,-152.15
DRG,Nome,Alaska,US,66.0712,-162.75989
DRH,,,Indonesia,-3.25,138.56667
DRI,Beauregard,Louisiana,US,30.85,-93.28333
DRJ,,,Suriname,4.116667,-54.666668
DRK,,,Costa Rica,8.71962,-83.6446
DRN,,Queensland,Australia,-28.586666,148.21527
DRO,La Plata,Colorado,US,37.15995,-107.751076
DRR,,South Australia,Australia,-25.616667,140.21666
DRS,,,Germany,51.124332,13.766082
DRT,Kinney,Texas,US,29.333332,-100.97833
DRU,Powell,Montana,US,46.666668,-113.15
DRV,,,Maldives,5.156111,73.13028
DRW,,Northern Territory,Australia,-12.407805,130.87752
DRX,,,Germany,51.13,13.77
DRY,,Northern Territory,Australia,-15.666667,126.416664
DSA,,Isle of Man,United Kingdom,53.481003,-1.01155
DSC,,,Cameroon,5.833333,10.091667
DSD,,Guadeloupe,France,16.333332,-61.016666
DSE,,,Ethiopia,11.075,39.71528
DSG,,,Philippines,14.0,120.0
DSI,Okaloosa,Florida,US,30.383333,-86.5
DSK,,,Pakistan,31.916668,70.9
DSM,Polk,Iowa,US,41.532433,-93.64809
DSN,,Shanxi,China,39.85,110.03333
DSV,Livingston,New York,US,42.566666,-77.7
DTA,Juab,Utah,US,39.38333,-112.5
DTD,,,Indonesia,0.621316,116.60037
DTE,,,Philippines,14.133333,122.98333
DTH,Inyo,California,US,36.5,-117.0
DTI,,,Brazil,-18.230804,-43.647846
DTL,Becker,Minnesota,US,46.82639,-95.88611
DTM,,,Germany,51.514828,7.613139
DTN,Caddo,Louisiana,US,32.539722,-93.744446
DTR,San Juan,Washington,US,48.516666,-122.833336
DTW,Wayne,Michigan,US,42.20781,-83.35605
DUA,Bryan,Oklahoma,US,33.983334,-96.416664
DUB,,,Ireland,53.42728,-6.24357
DUC,Stephens,Oklahoma,US,34.47222,-97.959724
DUD,,,New Zealand,-45.92387,170.19905
DUE,,,Angola,-7.4,20.816668
DUF,Currituck,North Carolina,US,36.25833,-75.78889
DUG,Cochise,Arizona,US,31.46861,-109.603615
DUI,,,Germany,51.43247,6.76516
DUJ,Jefferson,Pennsylvania,US,41.178333,-78.89889
DUK,,,South Africa,-28.366667,32.234165
DUM,,,Indonesia,1.583333,101.46667
DUQ,,British Columbia,Canada,48.783333,-123.7
DUR,,,South Africa,-29.614445,31.116388
DUS,,,Germany,51.278328,6.76558
DUT,Aleutians East,Alaska,US,53.89446,-166.54224
DVD,,,Madagascar,-22.078333,43.259167
DVK,,Northwest Territories,Canada,64.51139,-110.289444
DVL,Ramsey,North Dakota,US,48.113056,-98.9075
DVN,Scott,Iowa,US,41.610558,-90.58861
DVO,,,Philippines,7.130696,125.6447
DVP,,South Australia,Australia,-24.133333,141.11667
DVR,,Northern Territory,Australia,-13.75,130.68333
DVT,Maricopa,Arizona,US,33.683887,-112.083336
DWA,,,Malawi,-13.0,34.13333
DWB,,,Madagascar,-16.1,45.36667
DWC,,,United Arab Emirates,24.918056,55.175278
DWD,,,Saudi Arabia,24.445545,44.1287
DWH,Harris,Texas,US,29.75,-95.416664
DWR,,,Afghanistan,0.0,0.0
DXB,,,United Arab Emirates,25.248665,55.352917
DXD,,Northern Territory,Australia,-15.166667,143.66667
DXR,Fairfield,Connecticut,US,41.38333,-73.45
DYA,,Queensland,Australia,-23.5,148.0
DYG,,Hunan,China,29.10712,110.44569
DYL,Bucks,Pennsylvania,US,40.316666,-75.13333
DYM,,South Australia,Australia,-26.75,139.16667
DYR,,,Russia,64.73333,177.75
DYS,Taylor,Texas,US,32.466667,-99.71667
DYW,,Northern Territory,Australia,-16.25,133.4
DZA,,Mayotte,France,-12.804901,45.2821
DZI,,,Colombia,10.016667,-73.25
DZN,,,Kazakhstan,47.7,67.73333
DZO,,,Uruguay,-33.416668,-56.516666
DZU,,Chongqing,China,29.7,105.71667
EAA,Southeast Fairbanks,Alaska,US,64.776665,-141.1486
EAB,,,Yemen,14.583333,43.5
EAM,,,Saudi Arabia,17.613281,44.414646
EAN,Platte,Wyoming,US,42.05,-104.96667
EAR,Buffalo,Nebraska,US,40.728333,-98.998886
EAS,,,Spain,43.3564,-1.793538
EAT,Kittitas,Washington,US,47.399723,-120.20778
EAU,Eau Claire,Wisconsin,US,44.864445,-91.48722
EBA,,,Italy,42.766666,10.283333
EBB,,,Uganda,0.045111,32.443184
EBD,,,Sudan,13.159722,30.234167
EBG,,,Colombia,7.616667,-74.816666
EBH,,,Algeria,33.717804,1.094105
EBJ,,,Denmark,55.52143,8.549062
EBL,,,Iraq,36.2375,43.963055
EBM,,,Tunisia,31.716667,9.266667
EBR,West Baton Rouge,Louisiana,US,30.45,-91.183334
EBS,Hamilton,Iowa,US,42.466667,-93.816666
EBU,,,France,45.54139,4.296944
EBW,,,Cameroon,2.916667,11.166667
ECA,Iosco,Michigan,US,44.266666,-83.48333
ECG,Pasquotank,North Carolina,US,36.259167,-76.17306
ECH,,Victoria,Australia,-36.15,144.75
ECN,,,Cyprus,35.15812,33.50307
ECO,,,Colombia,-1.616667,-73.23333
ECP,Bay,Florida,US,30.357803,-85.79892
ECR,,,Colombia,2.5,-78.0
ECS,Weston,Wyoming,US,43.833332,-104.183334
EDA,Prince of Wales-Hyder,Alaska,US,55.95,-133.66667
EDB,,,Sudan,18.283333,30.833332
EDD,,South Australia,Australia,-25.25,133.2
EDE,Chowan,North Carolina,US,36.066666,-76.65
EDF,Anchorage,Alaska,US,61.250557,-149.78473
EDG,Harford,Maryland,US,39.465668,-76.360916
EDI,,,United Kingdom,55.948143,-3.364177
EDK,Butler,Kansas,US,37.816666,-96.86667
EDL,,,Kenya,0.4054,35.2236
EDM,,,France,46.7,-1.383333
EDO,,,Turkey,39.583332,27.033333
EDQ,,,Honduras,14.233333,-88.416664
EDR,,Northern Territory,Australia,-14.9,141.61667
EDW,Los Angeles,California,US,35.0,-117.916664
EED,Mohave,Arizona,US,34.85,-114.61667
EEK,Bethel,Alaska,US,60.216667,-162.01666
EEL,,,Spain,53.120277,6.575556
EEM,,,Spain,38.9976516,-1.8600701
EEN,Cheshire,New Hampshire,US,42.900833,-72.270836
EER,,,Spain,41.1548179,1.108676
EEU,,,Spain,42.5998764,-5.571752
EFB,Hoonah-Angoon,Alaska,US,58.0,-135.73334
EFD,Galveston,Texas,US,29.6,-95.15
EFG,,,Papua New Guinea,-9.15,147.66667
EFK,Orleans,Vermont,US,44.889442,-72.23
EFL,,,Greece,38.118057,20.505556
EFO,,Virgin Islands,US,0.0,0.0
EFW,Greene,Iowa,US,42.016666,-94.38333
EGA,,,Papua New Guinea,-6.916667,146.1
EGC,,,France,44.85,0.483333
EGE,Eagle,Colorado,US,39.63988,-106.91347
EGI,Okaloosa,Florida,US,30.483334,-86.5
EGL,,,Ethiopia,5.283333,39.716667
EGN,,,Sudan,13.4875,22.469444
EGO,,,Russia,50.63333,36.65
EGP,Maverick,Texas,US,28.702223,-100.48055
EGS,,,Iceland,65.27778,-14.402778
EGV,Vilas,Wisconsin,US,45.92917,-89.26583
EGX,Bristol Bay,Alaska,US,58.20778,-157.37029
EHL,,,Argentina,-42.0,-71.75
EHM,Dillingham,Alaska,US,58.64722,-162.06056
EHT,Hartford,Connecticut,US,41.766666,-72.65
EIA,,,Papua New Guinea,-8.116667,147.63333
EIB,,,Germany,50.983334,10.483333
EIE,,,Russia,58.466667,92.11667
EIH,,Queensland,Australia,-18.5,144.1
EIK,,,Russia,63.2,38.21
EIL,Fairbanks North Star,Alaska,US,64.85,-147.71666
EIN,,,Netherlands,51.457954,5.391795
EIS,,British Virgin Islands,United Kingdom,18.44389,-64.54278
EIY,,,Israel,30.633333,35.183334
EJA,,,Colombia,7.015833,-73.799164
EJH,,,Saudi Arabia,26.207716,36.47481
EKA,Humboldt,California,US,40.805,-124.115
EKB,,,Kazakhstan,51.583332,75.21667
EKD,,Northern Territory,Australia,-21.15,135.55
EKE,,,Guyana,5.916667,-59.88333
EKI,Elkhart,Indiana,US,41.72222,-85.992226
EKN,Randolph,West Virginia,US,38.889442,-79.85778
EKO,Elko,Nevada,US,40.82389,-115.78972
EKS,,,Russia,45.267853,-111.65034
EKT,,,Sweden,59.36667,16.533333
EKX,Hardin,Kentucky,US,37.68889,-85.92778
ELA,Colorado,Texas,US,29.583332,-96.333336
ELB,,,Colombia,9.048889,-73.97417
ELC,,Northern Territory,Australia,-12.019817,135.5698
ELD,Union,Arkansas,US,33.220554,-92.81472
ELE,,,Panama,8.166667,-77.833336
ELF,,,Sudan,13.616667,25.316668
ELG,,,Algeria,30.5675,2.864722
ELH,,,Bahamas,25.476917,-76.68192
ELI,Nome,Alaska,US,64.61361,-162.27028
ELJ,,,Colombia,2.0,-73.833336
ELK,Beckham,Oklahoma,US,35.416668,-99.416664
ELL,,,South Africa,-23.716667,27.683332
ELM,Chemung,New York,US,42.16304,-76.89586
ELN,Kittitas,Washington,US,46.983334,-120.566666
ELO,,,Argentina,-26.5,-54.733334
ELP,El Paso,Texas,US,31.798948,-106.396
ELQ,,,Saudi Arabia,26.305029,43.768177
ELR,,,Indonesia,-3.816667,140.06667
ELS,,,South Africa,-33.038437,27.82892
ELT,,,Egypt,28.216667,33.63333
ELU,,,Algeria,33.516666,6.783333
ELV,Hoonah-Angoon,Alaska,US,58.183334,-136.31667
ELW,Valdez-Cordova,Alaska,US,60.9,-146.23334
ELX,,,Venezuela,8.883333,-64.26667
ELY,White Pine,Nevada,US,39.301945,-114.84194
ELZ,Allegany,New York,US,42.11667,-77.95
EMA,,Isle of Man,United Kingdom,52.82587,-1.330595
EMB,San Francisco,California,US,37.62528,-122.375
EMD,,Queensland,Australia,-23.56861,148.1744
EME,,,Germany,53.36667,7.2
EMG,,,South Africa,-28.75,31.9
EMI,,,Papua New Guinea,-1.65,149.98334
EMK,Kusilvak,Alaska,US,62.776943,-164.52083
EML,,,Switzerland,47.0925,8.304722
EMM,Lincoln,Wyoming,US,41.783333,-110.55
EMN,,,Mauritania,16.6,-7.283333
EMO,,,Papua New Guinea,-9.15,147.95
EMP,Lyon,Kansas,US,38.3325,-96.190834
EMS,,,Papua New Guinea,-9.45,148.86667
EMT,Los Angeles,California,US,34.083332,-118.03333
EMX,,,Argentina,-42.033333,-71.15
EMY,,,Egypt,28.1,30.75
ENA,Kenai Peninsula,Alaska,US,60.56521,-151.24644
ENB,,Western Australia,Australia,-30.083332,114.98333
ENC,,,France,48.691666,6.231667
END,Garfield,Oklahoma,US,36.4,-97.88333
ENE,,,Indonesia,-8.833333,121.65
ENF,,,Finland,68.35,23.416668
ENH,,Chongqing,China,30.321934,109.48201
ENI,,,Philippines,11.205556,119.41278
ENJ,,,Guatemala,17.333332,-90.166664
ENK,,Isle of Man,United Kingdom,54.35,-7.633333
ENL,Marion,Illinois,US,38.516666,-89.13333
ENN,Denali,Alaska,US,64.566666,-149.11667
ENO,,,Paraguay,-27.25,-55.833332
ENQ,,,Honduras,14.369167,-87.617226
ENS,,,Netherlands,52.271667,6.878333
ENU,,,Nigeria,6.472048,7.56772
ENV,Tooele,Utah,US,40.733334,-114.03333
ENW,Kenosha,Wisconsin,US,42.583332,-87.816666
ENY,,Shaanxi,China,36.639366,109.55148
EOH,,,Colombia,6.218666,-75.5864
EOI,,,United Kingdom,59.183334,-2.783333
EOK,Lee,Iowa,US,40.458332,-91.43
EOR,,,Venezuela,6.733333,-61.88333
EOS,Newton,Missouri,US,36.86667,-94.36667
EOZ,,,Venezuela,7.166667,-69.53333
EPA,,,Argentina,-34.608334,-58.6125
EPG,Cass,Nebraska,US,40.86667,-96.13333
EPH,Grant,Washington,US,47.30417,-119.5125
EPL,,,France,48.325832,6.069444
EPN,,,Congo (Brazzaville),1.366667,17.533333
EPR,,Western Australia,Australia,-33.68248,121.83039
EPS,,,Dominican Republic,19.25,-69.5
EPT,,,Papua New Guinea,-5.033333,141.66667
EPU,,,Estonia,58.418888,24.472778
EQS,,,Argentina,-42.90972,-71.1425
ERA,,,Somalia,10.616667,47.4
ERB,,South Australia,Australia,-26.283333,132.11667
ERC,,,Turkey,39.711666,39.516945
ERD,,,Ukraine,46.733334,36.783333
ERE,,,Papua New Guinea,-6.633333,143.9
ERF,,,Germany,50.974915,10.961163
ERG,,,Russia,61.275,108.03
ERH,,,Morocco,31.95,-4.4
ERI,Erie,Pennsylvania,US,42.08314,-80.18203
ERL,,Inner Mongolia,China,43.426674,112.09845
ERM,,,Brazil,-27.641666,-52.275555
ERN,,,Brazil,-6.583333,-69.88333
ERO,,Virgin Islands,US,-22.616667,17.083332
ERQ,,Northern Territory,Australia,-20.976667,141.0086
ERR,Coos,New Hampshire,US,44.783333,-71.13333
ERT,,,Mongolia,49.066666,104.15
ERU,,,Papua New Guinea,-8.416667,147.08333
ERV,Kerr,Texas,US,30.05,-99.13333
ERZ,,,Turkey,39.955555,41.17361
ESA,,,Papua New Guinea,-9.733333,150.81667
ESB,,,Turkey,40.11494,32.993145
ESC,Delta,Michigan,US,45.720554,-87.08667
ESD,San Juan,Washington,US,48.708332,-122.9125
ESE,,,Mexico,31.866667,-116.61667
ESF,Rapides,Louisiana,US,31.395,-92.29694
ESG,,,Paraguay,-22.033333,-60.61667
ESH,,Channel Islands,United Kingdom,50.833332,-0.3
ESI,,,Brazil,-15.0,-44.0
ESK,,,Turkey,39.784138,30.582111
ESL,,,Russia,46.36667,44.333332
ESM,,,Ecuador,0.966667,-79.625
ESN,Talbot,Maryland,US,38.802776,-76.06778
ESO,Los Alamos,New Mexico,US,36.1,-106.03333
ESP,Monroe,Pennsylvania,US,40.983334,-75.2
ESR,,,Chile,-26.315277,-69.76528
ESS,,,Germany,51.40389,6.941667
